Nombre,Tipo,Latitud,Longitud,Elevacion,Municipio,Departamento,X,Y,Z,Entidad,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
TIBACUY [21190030],Pluviográfica,4.348055556,-74.45447222,1635,Tibacuy,Cundinamarca,1704883.433261327,-6128695.967588263,483682.6263426621,IDEAM,"37,3","186,2","110,9","89,5","71,7","51,9","96,4","35,3","52,1",136,"172,8","69,8","46,4","231,5","207,6",156,"229,2","126,9","17,4","137,2","35,6","129,8",99,"89,6","85,1","147,4","108,1","370,1","104,7","130,9","57,7","37,2","76,4","117,1","181,8",74,"213,3","57,2","253,3","228,4","106,8",7,"20,8","17,5",35,"119,6","133,1","115,3","26,9","96,1","73,5","104,3","101,9","72,1","38,5","21,4","58,9","157,8","202,4","57,1","35,9","101,7","156,5","238,9","84,4"
CABRERA [21190090],Pluviométrica,3.986972222,-74.48355556,1900,Cabrera,Cundinamarca,1702624.6504292206,-6132630.676606337,443601.5298727708,IDEAM,8,"44,5","67,7","68,8","58,1","106,1","88,7","68,9",60,"87,9",139,80,"16,1","110,1","147,6","168,8","107,3",94,"35,3",78,"62,7","159,2","95,7","41,7","42,6","96,9","78,4","166,9","120,7","150,9","102,6","60,8","98,7","187,1","142,3","46,4","120,3","101,2","142,3","94,6","81,6","41,1",54,"81,6","66,5","131,2","99,9","55,8","14,5","21,2",0,0,0,0,"56,5","57,1","23,9","115,4","84,1","21,4",0,0,0,0,0
NILO [21190210],Pluviométrica,4.305888889,-74.64866667,322,Nilo,Cundinamarca,1683848.6541906253,-6133518.195339383,478902.2542501622,IDEAM,12,47,148,"106,2",93,134,"135,7",93,64,114,101,15,7,180,314,282,320,358,47,180,67,210,180,196,42,225,0,0,0,313,0,0,0,203,173,37,391,179,511,490,255,31,62,32,76,0,105,144,11,17,92,201,"34,8",96,62,30,110,110,195,13,41,170,331,289,0
OSPINA PEREZ [21190240],Pluviométrica,4.081611111,-74.48872222,1450,Venecia,Cundinamarca,1701753.3221655658,-6131637.274254753,454081.672890038,IDEAM,50,83,"137,4","111,7","119,7","91,9","127,6","97,6","63,9","103,7",197,"124,1","38,2","156,6","347,8","232,8","226,7","165,4","100,4","108,4","116,1","221,1","114,7","87,5","78,2","122,1","222,2","209,6","204,2","140,7","110,9","110,3","134,1","321,8","90,7","224,9","206,4","155,5","283,8",199,"151,1","61,9","84,3","96,5","69,3",272,"111,3","93,6","3,3","33,1","116,4","122,1","125,8","149,2",79,"63,8",0,0,0,0,0,0,0,0,0
SAN JUAN [21190270],Pluviométrica,4.031027778,-74.31116667,2900,"Bogotá, D.C",Bogotá,1721245.4909271344,-6128110.315294734,448565.52339547966,IDEAM,"7,8","29,9","44,5","15,3","55,1","61,5","63,6","43,9","30,1","20,7","52,4","38,2","18,6","49,2","70,1","58,4","70,2","39,8","33,3","26,3","32,7","56,2","34,7","14,7","7,3","31,4","49,7","38,5","68,7","68,8","34,8","25,2","32,7","51,5","64,9",8,"20,8","17,3","47,3","32,7","15,7",10,"15,7","15,3","50,6","17,7","27,2","6,7",0,"15,8","7,2","29,4","49,8","29,7","16,3","9,8","16,5","33,4","55,7","10,3","11,3","38,9","47,7","45,7","41,7"
EL PINAR [21190310],Pluviométrica,4.387972222,-74.32991667,1900,Fusagasugá,Cundinamarca,1718182.5277948251,-6124903.705141826,488134.63157085574,IDEAM,"124,7",111,"155,4","146,7","107,1","80,5","85,8",122,"84,1","149,8","199,3","85,5","45,3","239,1","290,1","155,5","250,7","142,4","86,7","149,3","93,3","206,4","218,6","140,8","217,7","252,8","105,5","353,2","174,9","310,5","75,8","97,5","161,8","274,9","376,7","170,4","266,8",67,"290,4","237,6","93,4","33,2","52,7","53,5","109,7","248,3","78,2","89,4",81,"177,1","48,8","214,2","114,7","92,8","58,9","46,8","92,7","188,3","451,4","164,7","32,1",293,"294,8","244,7","99,1"
NUÑEZ [21190330],Pluviométrica,3.905861111,-74.50969444,1950,Cabrera,Cundinamarca,1700006.0481256905,-6134053.893636968,434594.41925255297,IDEAM,"26,1","74,1","145,3","113,8","98,4","142,8","157,5","79,1","106,5",0,0,"86,8","33,2","260,3","262,3","268,1","213,5","190,4","104,8","183,7","107,5","462,8","322,3","68,8","65,2","144,1",58,"208,7",176,"290,2","158,4","84,7","128,7","238,5","130,6","52,6","157,6","101,2","266,6",115,"185,8",0,"85,3","76,9","104,5","219,5","156,2","122,6","1,5","46,8","49,2","145,8","158,1","179,8","109,1","69,3","44,3","233,3","204,9","52,4",0,0,0,0,0
EL TULCAN [21190350],Pluviométrica,4.152472222,-74.35975,2700,San Bernardo,Cundinamarca,1715734.6488426744,-6128446.188020257,462041.8381904977,IDEAM,"40,5","57,4",62,"38,7","93,2","99,3","123,8","58,4","47,3","64,3","143,8","22,3","8,1","118,9","163,2","122,1","91,3","107,7","66,4","161,2",85,"137,6","70,4","34,5","35,5","95,4","106,7","177,7","116,4","173,1","103,4",16,"91,7","159,9","150,3","72,1","86,4","15,4","127,1","103,7","84,8","27,5","31,3","23,7","10,5",55,"88,8","56,6","1,2","74,2","32,5","54,8","128,8","99,5","47,6","49,5","51,6","108,6","199,6","28,7",11,"124,8","139,9","133,2","115,9"
BATAN [21190460],Pluviométrica,4.35,-74.4,2240,Pasca,Cundinamarca,1710867.1457943367,-6127637.55316708,483944.4014211206,IDEAM,"54,8",43,"73,7","53,1","111,8",84,"126,3",76,"87,3","106,7","183,2","39,8","47,3","161,5","239,9","132,7","142,2","119,3","61,7","180,2","70,7","168,8","119,6","54,4","44,5","113,8","139,7","222,3","152,4","162,9","120,9","74,4","131,5","251,9","227,5",59,"119,8","85,1","230,3","161,6",108,"57,4","62,9","30,9","89,8","130,5","92,4","119,5","3,6","57,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANDI [21195060],Climática Ordinaria,4.192722222,-74.48741667,950,Pandi,Cundinamarca,1701520.9598398537,-6130257.968693334,466384.51582625805,IDEAM,"91,2","113,3","87,9","141,5",111,"81,3","84,7",73,"44,4","73,9","177,5","72,6","21,5","108,4","183,5","84,9","119,2","145,6",63,"101,8",153,"149,7","60,5","83,6","91,5","135,5","88,4","277,5","182,6","180,7","83,5","74,2","159,4","216,4","255,2","55,4","210,9","90,6","315,4","264,9","150,7",25,"45,3","31,7","11,9","150,1","110,8","77,6","10,2","70,5","82,7","231,2","72,7","101,9","61,7","32,7","69,7","190,3",269,45,0,"131,1","241,5","285,5","107,5"
